"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2017"
"1100015";"Alta Floresta D'Oeste (RO)";"25437"
"1100023";"Ariquemes (RO)";"107345"
"1100031";"Cabixi (RO)";"6224"
"1100049";"Cacoal (RO)";"88507"
"1100056";"Cerejeiras (RO)";"17934"
"1100064";"Colorado do Oeste (RO)";"18467"
"1100072";"Corumbiara (RO)";"8659"
"1100080";"Costa Marques (RO)";"17400"
"1100098";"Espigão D'Oeste (RO)";"33030"
"1100106";"Guajará-Mirim (RO)";"47451"
"1100114";"Jaru (RO)";"55871"
"1100122";"Ji-Paraná (RO)";"132667"
"1100130";"Machadinho D'Oeste (RO)";"38609"
"1100148";"Nova Brasilândia D'Oeste (RO)";"21747"
"1100155";"Ouro Preto do Oeste (RO)";"39759"
"1100189";"Pimenta Bueno (RO)";"38051"
"1100205";"Porto Velho (RO)";"519436"
"1100254";"Presidente Médici (RO)";"22124"
"1100262";"Rio Crespo (RO)";"3829"
"1100288";"Rolim de Moura (RO)";"57074"
"1100296";"Santa Luzia D'Oeste (RO)";"8198"
"1100304";"Vilhena (RO)";"95630"
"1100320";"São Miguel do Guaporé (RO)";"24181"
"1100338";"Nova Mamoré (RO)";"28891"
"1100346";"Alvorada D'Oeste (RO)";"16747"
"1100379";"Alto Alegre dos Parecis (RO)";"14045"
"1100403";"Alto Paraíso (RO)";"20916"
"1100452";"Buritis (RO)";"39044"
"1100502";"Novo Horizonte do Oeste (RO)";"10051"
"1100601";"Cacaulândia (RO)";"6460"
"1100700";"Campo Novo de Rondônia (RO)";"14484"
"1100809";"Candeias do Jamari (RO)";"25266"
"1100908";"Castanheiras (RO)";"3550"
"1100924";"Chupinguaia (RO)";"10593"
"1100940";"Cujubim (RO)";"22443"
"1101005";"Governador Jorge Teixeira (RO)";"9745"
"1101104";"Itapuã do Oeste (RO)";"10310"
"1101203";"Ministro Andreazza (RO)";"10751"
"1101302";"Mirante da Serra (RO)";"12258"
"1101401";"Monte Negro (RO)";"16186"
"1101435";"Nova União (RO)";"7769"
"1101450";"Parecis (RO)";"5904"
"1101468";"Pimenteiras do Oeste (RO)";"2410"
"1101476";"Primavera de Rondônia (RO)";"3411"
"1101484";"São Felipe D'Oeste (RO)";"5994"
"1101492";"São Francisco do Guaporé (RO)";"19694"
"1101500";"Seringueiras (RO)";"12653"
"1101559";"Teixeirópolis (RO)";"4931"
"1101609";"Theobroma (RO)";"11350"
"1101708";"Urupá (RO)";"13106"
"1101757";"Vale do Anari (RO)";"11149"
"1101807";"Vale do Paraíso (RO)";"8047"
"1200013";"Acrelândia (AC)";"14366"
"1200054";"Assis Brasil (AC)";"6986"
"1200104";"Brasiléia (AC)";"24765"
"1200138";"Bujari (AC)";"9664"
"1200179";"Capixaba (AC)";"11136"
"1200203";"Cruzeiro do Sul (AC)";"82622"
"1200252";"Epitaciolândia (AC)";"17340"
"1200302";"Feijó (AC)";"32360"
"1200328";"Jordão (AC)";"7858"
"1200336";"Mâncio Lima (AC)";"17910"
"1200344";"Manoel Urbano (AC)";"8886"
"1200351";"Marechal Thaumaturgo (AC)";"17897"
"1200385";"Plácido de Castro (AC)";"18510"
"1200393";"Porto Walter (AC)";"11353"
"1200401";"Rio Branco (AC)";"383443"
"1200427";"Rodrigues Alves (AC)";"17945"
"1200435";"Santa Rosa do Purus (AC)";"6230"
"1200450";"Senador Guiomard (AC)";"21552"
"1200500";"Sena Madureira (AC)";"43139"
"1200609";"Tarauacá (AC)";"40024"
"1200708";"Xapuri (AC)";"18174"
"1200807";"Porto Acre (AC)";"17459"
"1300029";"Alvarães (AM)";"15908"
"1300060";"Amaturá (AM)";"11242"
"1300086";"Anamã (AM)";"12978"
"1300102";"Anori (AM)";"20196"
"1300144";"Apuí (AM)";"21406"
"1300201";"Atalaia do Norte (AM)";"19054"
"1300300";"Autazes (AM)";"38454"
"1300409";"Barcelos (AM)";"27743"
"1300508";"Barreirinha (AM)";"31542"
"1300607";"Benjamin Constant (AM)";"41329"
"1300631";"Beruri (AM)";"18978"
"1300680";"Boa Vista do Ramos (AM)";"18483"
"1300706";"Boca do Acre (AM)";"34176"
"1300805";"Borba (AM)";"40464"
"1300839";"Caapiranga (AM)";"12820"
"1300904";"Canutama (AM)";"15490"
"1301001";"Carauari (AM)";"28337"
"1301100";"Careiro (AM)";"37399"
"1301159";"Careiro da Várzea (AM)";"29190"
"1301209";"Coari (AM)";"84762"
"1301308";"Codajás (AM)";"27817"
"1301407";"Eirunepé (AM)";"34888"
"1301506";"Envira (AM)";"19492"
"1301605";"Fonte Boa (AM)";"19669"
"1301654";"Guajará (AM)";"16339"
"1301704";"Humaitá (AM)";"53383"
"1301803";"Ipixuna (AM)";"28299"
"1301852";"Iranduba (AM)";"47407"
"1301902";"Itacoatiara (AM)";"99854"
"1301951";"Itamarati (AM)";"8128"
"1302009";"Itapiranga (AM)";"9125"
"1302108";"Japurá (AM)";"4205"
"1302207";"Juruá (AM)";"13956"
"1302306";"Jutaí (AM)";"15824"
"1302405";"Lábrea (AM)";"44861"
"1302504";"Manacapuru (AM)";"96460"
"1302553";"Manaquiri (AM)";"30222"
"1302603";"Manaus (AM)";"2130264"
"1302702";"Manicoré (AM)";"54708"
"1302801";"Maraã (AM)";"18531"
"1302900";"Maués (AM)";"62212"
"1303007";"Nhamundá (AM)";"20902"
"1303106";"Nova Olinda do Norte (AM)";"36431"
"1303205";"Novo Airão (AM)";"18586"
"1303304";"Novo Aripuanã (AM)";"25112"
"1303403";"Parintins (AM)";"113832"
"1303502";"Pauini (AM)";"19597"
"1303536";"Presidente Figueiredo (AM)";"34574"
"1303569";"Rio Preto da Eva (AM)";"32001"
"1303601";"Santa Isabel do Rio Negro (AM)";"23765"
"1303700";"Santo Antônio do Içá (AM)";"23075"
"1303809";"São Gabriel da Cachoeira (AM)";"44553"
"1303908";"São Paulo de Olivença (AM)";"38047"
"1303957";"São Sebastião do Uatumã (AM)";"13421"
"1304005";"Silves (AM)";"9211"
"1304062";"Tabatinga (AM)";"63635"
"1304104";"Tapauá (AM)";"17930"
"1304203";"Tefé (AM)";"62021"
"1304237";"Tonantins (AM)";"18782"
"1304260";"Uarini (AM)";"13428"
"1304302";"Urucará (AM)";"16968"
"1304401";"Urucurituba (AM)";"22148"
"1400027";"Amajari (RR)";"11560"
"1400050";"Alto Alegre (RR)";"15933"
"1400100";"Boa Vista (RR)";"332020"
"1400159";"Bonfim (RR)";"11945"
"1400175";"Cantá (RR)";"16877"
"1400209";"Caracaraí (RR)";"20807"
"1400233";"Caroebe (RR)";"9493"
"1400282";"Iracema (RR)";"10859"
"1400308";"Mucajaí (RR)";"16852"
"1400407";"Normandia (RR)";"10527"
"1400456";"Pacaraima (RR)";"12375"
"1400472";"Rorainópolis (RR)";"28215"
"1400506";"São João da Baliza (RR)";"7740"
"1400605";"São Luiz (RR)";"7597"
"1400704";"Uiramutã (RR)";"9836"
"1500107";"Abaetetuba (PA)";"153380"
"1500131";"Abel Figueiredo (PA)";"7231"
"1500206";"Acará (PA)";"54096"
"1500305";"Afuá (PA)";"38144"
"1500347";"Água Azul do Norte (PA)";"26682"
"1500404";"Alenquer (PA)";"55246"
"1500503";"Almeirim (PA)";"33195"
"1500602";"Altamira (PA)";"111435"
"1500701";"Anajás (PA)";"28466"
"1500800";"Ananindeua (PA)";"516057"
"1500859";"Anapu (PA)";"27096"
"1500909";"Augusto Corrêa (PA)";"44734"
"1500958";"Aurora do Pará (PA)";"30471"
"1501006";"Aveiro (PA)";"15947"
"1501105";"Bagre (PA)";"29808"
"1501204";"Baião (PA)";"46110"
"1501253";"Bannach (PA)";"3200"
"1501303";"Barcarena (PA)";"121190"
"1501402";"Belém (PA)";"1452275"
"1501451";"Belterra (PA)";"17249"
"1501501";"Benevides (PA)";"60990"
"1501576";"Bom Jesus do Tocantins (PA)";"16517"
"1501600";"Bonito (PA)";"15834"
"1501709";"Bragança (PA)";"124184"
"1501725";"Brasil Novo (PA)";"14689"
"1501758";"Brejo Grande do Araguaia (PA)";"7182"
"1501782";"Breu Branco (PA)";"64194"
"1501808";"Breves (PA)";"99896"
"1501907";"Bujaru (PA)";"28331"
"1501956";"Cachoeira do Piriá (PA)";"32947"
"1502004";"Cachoeira do Arari (PA)";"23110"
"1502103";"Cametá (PA)";"134100"
"1502152";"Canaã dos Carajás (PA)";"36027"
"1502202";"Capanema (PA)";"67150"
"1502301";"Capitão Poço (PA)";"52839"
"1502400";"Castanhal (PA)";"195253"
"1502509";"Chaves (PA)";"23066"
"1502608";"Colares (PA)";"11759"
"1502707";"Conceição do Araguaia (PA)";"46571"
"1502756";"Concórdia do Pará (PA)";"32395"
"1502764";"Cumaru do Norte (PA)";"13093"
"1502772";"Curionópolis (PA)";"17453"
"1502806";"Curralinho (PA)";"33490"
"1502855";"Curuá (PA)";"13996"
"1502905";"Curuçá (PA)";"38959"
"1502939";"Dom Eliseu (PA)";"58071"
"1502954";"Eldorado do Carajás (PA)";"32892"
"1503002";"Faro (PA)";"7009"
"1503044";"Floresta do Araguaia (PA)";"19746"
"1503077";"Garrafão do Norte (PA)";"25363"
"1503093";"Goianésia do Pará (PA)";"39352"
"1503101";"Gurupá (PA)";"32458"
"1503200";"Igarapé-Açu (PA)";"37753"
"1503309";"Igarapé-Miri (PA)";"60994"
"1503408";"Inhangapi (PA)";"11388"
"1503457";"Ipixuna do Pará (PA)";"62237"
"1503507";"Irituia (PA)";"31673"
"1503606";"Itaituba (PA)";"98523"
"1503705";"Itupiranga (PA)";"51835"
"1503754";"Jacareacanga (PA)";"8059"
"1503804";"Jacundá (PA)";"57526"
"1503903";"Juruti (PA)";"56325"
"1504000";"Limoeiro do Ajuru (PA)";"28138"
"1504059";"Mãe do Rio (PA)";"29260"
"1504109";"Magalhães Barata (PA)";"8316"
"1504208";"Marabá (PA)";"271594"
"1504307";"Maracanã (PA)";"28679"
"1504406";"Marapanim (PA)";"27569"
"1504422";"Marituba (PA)";"127858"
"1504455";"Medicilândia (PA)";"30726"
"1504505";"Melgaço (PA)";"26897"
"1504604";"Mocajuba (PA)";"30277"
"1504703";"Moju (PA)";"79825"
"1504752";"Mojuí dos Campos (PA)";"15646"
"1504802";"Monte Alegre (PA)";"56466"
"1504901";"Muaná (PA)";"39231"
"1504950";"Nova Esperança do Piriá (PA)";"20789"
"1504976";"Nova Ipixuna (PA)";"16221"
"1505007";"Nova Timboteua (PA)";"14942"
"1505031";"Novo Progresso (PA)";"25071"
"1505064";"Novo Repartimento (PA)";"73802"
"1505106";"Óbidos (PA)";"50727"
"1505205";"Oeiras do Pará (PA)";"31619"
"1505304";"Oriximiná (PA)";"71078"
"1505403";"Ourém (PA)";"17356"
"1505437";"Ourilândia do Norte (PA)";"31921"
"1505486";"Pacajá (PA)";"46383"
"1505494";"Palestina do Pará (PA)";"7386"
"1505502";"Paragominas (PA)";"110026"
"1505536";"Parauapebas (PA)";"202356"
"1505551";"Pau D'Arco (PA)";"5341"
"1505601";"Peixe-Boi (PA)";"7860"
"1505635";"Piçarra (PA)";"12632"
"1505650";"Placas (PA)";"30109"
"1505700";"Ponta de Pedras (PA)";"30219"
"1505809";"Portel (PA)";"60322"
"1505908";"Porto de Moz (PA)";"39991"
"1506005";"Prainha (PA)";"29067"
"1506104";"Primavera (PA)";"10534"
"1506112";"Quatipuru (PA)";"13237"
"1506138";"Redenção (PA)";"82464"
"1506161";"Rio Maria (PA)";"17705"
"1506187";"Rondon do Pará (PA)";"50925"
"1506195";"Rurópolis (PA)";"49093"
"1506203";"Salinópolis (PA)";"39569"
"1506302";"Salvaterra (PA)";"23096"
"1506351";"Santa Bárbara do Pará (PA)";"20492"
"1506401";"Santa Cruz do Arari (PA)";"9845"
"1506500";"Santa Izabel do Pará (PA)";"68836"
"1506559";"Santa Luzia do Pará (PA)";"19316"
"1506583";"Santa Maria das Barreiras (PA)";"20849"
"1506609";"Santa Maria do Pará (PA)";"24186"
"1506708";"Santana do Araguaia (PA)";"70764"
"1506807";"Santarém (PA)";"296302"
"1506906";"Santarém Novo (PA)";"6526"
"1507003";"Santo Antônio do Tauá (PA)";"30611"
"1507102";"São Caetano de Odivelas (PA)";"17563"
"1507151";"São Domingos do Araguaia (PA)";"24859"
"1507201";"São Domingos do Capim (PA)";"31123"
"1507300";"São Félix do Xingu (PA)";"124806"
"1507409";"São Francisco do Pará (PA)";"15454"
"1507458";"São Geraldo do Araguaia (PA)";"24188"
"1507466";"São João da Ponta (PA)";"5970"
"1507474";"São João de Pirabas (PA)";"22415"
"1507508";"São João do Araguaia (PA)";"13616"
"1507607";"São Miguel do Guamá (PA)";"57364"
"1507706";"São Sebastião da Boa Vista (PA)";"25904"
"1507755";"Sapucaia (PA)";"5766"
"1507805";"Senador José Porfírio (PA)";"11357"
"1507904";"Soure (PA)";"24682"
"1507953";"Tailândia (PA)";"103321"
"1507961";"Terra Alta (PA)";"11399"
"1507979";"Terra Santa (PA)";"18257"
"1508001";"Tomé-Açu (PA)";"61709"
"1508035";"Tracuateua (PA)";"30108"
"1508050";"Trairão (PA)";"18469"
"1508084";"Tucumã (PA)";"38508"
"1508100";"Tucuruí (PA)";"110516"
"1508126";"Ulianópolis (PA)";"57525"
"1508159";"Uruará (PA)";"44258"
"1508209";"Vigia (PA)";"52216"
"1508308";"Viseu (PA)";"59735"
"1508357";"Vitória do Xingu (PA)";"14719"
"1508407";"Xinguara (PA)";"43530"
"1600055";"Serra do Navio (AP)";"5111"
"1600105";"Amapá (AP)";"8757"
"1600154";"Pedra Branca do Amapari (AP)";"15125"
"1600204";"Calçoene (AP)";"10525"
"1600212";"Cutias (AP)";"5637"
"1600238";"Ferreira Gomes (AP)";"7270"
"1600253";"Itaubal (AP)";"5172"
"1600279";"Laranjal do Jari (AP)";"47554"
"1600303";"Macapá (AP)";"474706"
"1600402";"Mazagão (AP)";"20387"
"1600501";"Oiapoque (AP)";"25514"
"1600535";"Porto Grande (AP)";"20611"
"1600550";"Pracuúba (AP)";"4779"
"1600600";"Santana (AP)";"115471"
"1600709";"Tartarugalzinho (AP)";"16112"
"1600808";"Vitória do Jari (AP)";"14991"
"1700251";"Abreulândia (TO)";"2571"
"1700301";"Aguiarnópolis (TO)";"6460"
"1700350";"Aliança do Tocantins (TO)";"5527"
"1700400";"Almas (TO)";"7273"
"1700707";"Alvorada (TO)";"8516"
"1701002";"Ananás (TO)";"9749"
"1701051";"Angico (TO)";"3423"
"1701101";"Aparecida do Rio Negro (TO)";"4726"
"1701309";"Aragominas (TO)";"5865"
"1701903";"Araguacema (TO)";"7003"
"1702000";"Araguaçu (TO)";"8692"
"1702109";"Araguaína (TO)";"175960"
"1702158";"Araguanã (TO)";"5645"
"1702208";"Araguatins (TO)";"35216"
"1702307";"Arapoema (TO)";"6756"
"1702406";"Arraias (TO)";"10727"
"1702554";"Augustinópolis (TO)";"18089"
"1702703";"Aurora do Tocantins (TO)";"3735"
"1702901";"Axixá do Tocantins (TO)";"9776"
"1703008";"Babaçulândia (TO)";"10752"
"1703057";"Bandeirantes do Tocantins (TO)";"3500"
"1703073";"Barra do Ouro (TO)";"4544"
"1703107";"Barrolândia (TO)";"5643"
"1703206";"Bernardo Sayão (TO)";"4518"
"1703305";"Bom Jesus do Tocantins (TO)";"4700"
