"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2016"
"1100015";"Alta Floresta D'Oeste (RO)";"25506"
"1100023";"Ariquemes (RO)";"105896"
"1100031";"Cabixi (RO)";"6289"
"1100049";"Cacoal (RO)";"87877"
"1100056";"Cerejeiras (RO)";"17959"
"1100064";"Colorado do Oeste (RO)";"18639"
"1100072";"Corumbiara (RO)";"8749"
"1100080";"Costa Marques (RO)";"17031"
"1100098";"Espigão D'Oeste (RO)";"32712"
"1100106";"Guajará-Mirim (RO)";"47048"
"1100114";"Jaru (RO)";"55806"
"1100122";"Ji-Paraná (RO)";"131560"
"1100130";"Machadinho D'Oeste (RO)";"37899"
"1100148";"Nova Brasilândia D'Oeste (RO)";"21670"
"1100155";"Ouro Preto do Oeste (RO)";"39840"
"1100189";"Pimenta Bueno (RO)";"37786"
"1100205";"Porto Velho (RO)";"511219"
"1100254";"Presidente Médici (RO)";"22337"
"1100262";"Rio Crespo (RO)";"3790"
"1100288";"Rolim de Moura (RO)";"56664"
"1100296";"Santa Luzia D'Oeste (RO)";"8362"
"1100304";"Vilhena (RO)";"93745"
"1100320";"São Miguel do Guaporé (RO)";"24059"
"1100338";"Nova Mamoré (RO)";"28255"
"1100346";"Alvorada D'Oeste (RO)";"16902"
"1100379";"Alto Alegre dos Parecis (RO)";"13993"
"1100403";"Alto Paraíso (RO)";"20569"
"1100452";"Buritis (RO)";"38450"
"1100502";"Novo Horizonte do Oeste (RO)";"10161"
"1100601";"Cacaulândia (RO)";"6414"
"1100700";"Campo Novo de Rondônia (RO)";"14354"
"1100809";"Candeias do Jamari (RO)";"24719"
"1100908";"Castanheiras (RO)";"3583"
"1100924";"Chupinguaia (RO)";"10364"
"1100940";"Cujubim (RO)";"21720"
"1101005";"Governador Jorge Teixeira (RO)";"9933"
"1101104";"Itapuã do Oeste (RO)";"10155"
"1101203";"Ministro Andreazza (RO)";"10786"
"1101302";"Mirante da Serra (RO)";"12308"
"1101401";"Monte Negro (RO)";"16032"
"1101435";"Nova União (RO)";"7796"
"1101450";"Parecis (RO)";"5802"
"1101468";"Pimenteiras do Oeste (RO)";"2417"
"1101476";"Primavera de Rondônia (RO)";"3456"
"1101484";"São Felipe D'Oeste (RO)";"6048"
"1101492";"São Francisco do Guaporé (RO)";"19353"
"1101500";"Seringueiras (RO)";"12617"
"1101559";"Teixeirópolis (RO)";"4966"
"1101609";"Theobroma (RO)";"11348"
"1101708";"Urupá (RO)";"13198"
"1101757";"Vale do Anari (RO)";"10999"
"1101807";"Vale do Paraíso (RO)";"8138"
"1200013";"Acrelândia (AC)";"14120"
"1200054";"Assis Brasil (AC)";"6863"
"1200104";"Brasiléia (AC)";"24311"
"1200138";"Bujari (AC)";"9503"
"1200179";"Capixaba (AC)";"10820"
"1200203";"Cruzeiro do Sul (AC)";"82075"
"1200252";"Epitaciolândia (AC)";"17038"
"1200302";"Feijó (AC)";"32372"
"1200328";"Jordão (AC)";"7685"
"1200336";"Mâncio Lima (AC)";"17545"
"1200344";"Manoel Urbano (AC)";"8765"
"1200351";"Marechal Thaumaturgo (AC)";"17401"
"1200385";"Plácido de Castro (AC)";"18336"
"1200393";"Porto Walter (AC)";"11059"
"1200401";"Rio Branco (AC)";"377057"
"1200427";"Rodrigues Alves (AC)";"17464"
"1200435";"Santa Rosa do Purus (AC)";"6021"
"1200450";"Senador Guiomard (AC)";"21369"
"1200500";"Sena Madureira (AC)";"42451"
"1200609";"Tarauacá (AC)";"39427"
"1200708";"Xapuri (AC)";"17894"
"1200807";"Porto Acre (AC)";"17111"
"1300029";"Alvarães (AM)";"15729"
"1300060";"Amaturá (AM)";"11047"
"1300086";"Anamã (AM)";"12653"
"1300102";"Anori (AM)";"19749"
"1300144";"Apuí (AM)";"21031"
"1300201";"Atalaia do Norte (AM)";"18599"
"1300300";"Autazes (AM)";"37752"
"1300409";"Barcelos (AM)";"27589"
"1300508";"Barreirinha (AM)";"31105"
"1300607";"Benjamin Constant (AM)";"40417"
"1300631";"Beruri (AM)";"18579"
"1300680";"Boa Vista do Ramos (AM)";"18080"
"1300706";"Boca do Acre (AM)";"33840"
"1300805";"Borba (AM)";"39885"
"1300839";"Caapiranga (AM)";"12622"
"1300904";"Canutama (AM)";"15312"
"1301001";"Carauari (AM)";"28111"
"1301100";"Careiro (AM)";"36922"
"1301159";"Careiro da Várzea (AM)";"28592"
"1301209";"Coari (AM)";"83929"
"1301308";"Codajás (AM)";"27303"
"1301407";"Eirunepé (AM)";"34461"
"1301506";"Envira (AM)";"19143"
"1301605";"Fonte Boa (AM)";"20199"
"1301654";"Guajará (AM)";"16085"
"1301704";"Humaitá (AM)";"52354"
"1301803";"Ipixuna (AM)";"27587"
"1301852";"Iranduba (AM)";"46703"
"1301902";"Itacoatiara (AM)";"98503"
"1301951";"Itamarati (AM)";"8153"
"1302009";"Itapiranga (AM)";"9040"
"1302108";"Japurá (AM)";"4660"
"1302207";"Juruá (AM)";"13581"
"1302306";"Jutaí (AM)";"16200"
"1302405";"Lábrea (AM)";"44071"
"1302504";"Manacapuru (AM)";"95330"
"1302553";"Manaquiri (AM)";"29327"
"1302603";"Manaus (AM)";"2094391"
"1302702";"Manicoré (AM)";"53890"
"1302801";"Maraã (AM)";"18477"
"1302900";"Maués (AM)";"61110"
"1303007";"Nhamundá (AM)";"20633"
"1303106";"Nova Olinda do Norte (AM)";"35800"
"1303205";"Novo Airão (AM)";"18133"
"1303304";"Novo Aripuanã (AM)";"24718"
"1303403";"Parintins (AM)";"112716"
"1303502";"Pauini (AM)";"19488"
"1303536";"Presidente Figueiredo (AM)";"33703"
"1303569";"Rio Preto da Eva (AM)";"31274"
"1303601";"Santa Isabel do Rio Negro (AM)";"23092"
"1303700";"Santo Antônio do Içá (AM)";"23378"
"1303809";"São Gabriel da Cachoeira (AM)";"43831"
"1303908";"São Paulo de Olivença (AM)";"37300"
"1303957";"São Sebastião do Uatumã (AM)";"13105"
"1304005";"Silves (AM)";"9147"
"1304062";"Tabatinga (AM)";"62346"
"1304104";"Tapauá (AM)";"18039"
"1304203";"Tefé (AM)";"62230"
"1304237";"Tonantins (AM)";"18632"
"1304260";"Uarini (AM)";"13276"
"1304302";"Urucará (AM)";"17065"
"1304401";"Urucurituba (AM)";"21650"
"1400027";"Amajari (RR)";"11285"
"1400050";"Alto Alegre (RR)";"16053"
"1400100";"Boa Vista (RR)";"326419"
"1400159";"Bonfim (RR)";"11843"
"1400175";"Cantá (RR)";"16516"
"1400209";"Caracaraí (RR)";"20537"
"1400233";"Caroebe (RR)";"9331"
"1400282";"Iracema (RR)";"10592"
"1400308";"Mucajaí (RR)";"16618"
"1400407";"Normandia (RR)";"10339"
"1400456";"Pacaraima (RR)";"12144"
"1400472";"Rorainópolis (RR)";"27756"
"1400506";"São João da Baliza (RR)";"7629"
"1400605";"São Luiz (RR)";"7503"
"1400704";"Uiramutã (RR)";"9664"
"1500107";"Abaetetuba (PA)";"151934"
"1500131";"Abel Figueiredo (PA)";"7179"
"1500206";"Acará (PA)";"54080"
"1500305";"Afuá (PA)";"37778"
"1500347";"Água Azul do Norte (PA)";"26497"
